"Value","Count"
"is where our group",177
"is were our group",13
"is where argue",2
"where our group",2
"",1
"is were arguying",1
"is were I groomed in",1
"is were our crew",1
"is what our group",1
"is where I grew up",1
"is where or group",1
"is where our group first",1
