"Value","Count"
"in South Africa",123
"in South-Africa",59
"in south africa",5
"in south Africa",5
"in South-Afrika",2
"in Southafrica",2
"",1
"and stuff like that",1
"in South-Africa.",1
"in South-Arfica",1
"in South Africa.",1
"is South Africa",1
