"Value","Count"
"They are our future",118
"they are our future",28
"They are future",13
"They're our future",12
"They are our",9
"They´re our future",4
"they are our",4
"they're our future",3
"they are future",3
"They're our",2
"they´re our future",1
"",1
"They are",1
"They are our future's",1
"They are the future",1
"They`re our future",1
