"Value","Count"
"such a small brain",74
"such a small-brained",59
"such a small brained",29
"such a small-brain",26
"such a small",2
"such a smallbrained",2
"such small brain",2
"",1
"date for such a small brain",1
"for such a small brain",1
"small brained",1
"such a smal-brain",1
"such a smal brain",1
"such a small-brain individual",1
"such a small-brained individual",1
