"Value","Count"
"of others houses",56
"of others' houses",53
"of other's houses",49
"of other´s houses",16
"of others´ houses",14
"of other houses",5
"of others´ helthist",1
"of others´houses",1
"of others´ house",1
"",1
"of other's",1
"of other`s houses",1
"of others",1
"of others's houses",1
"of the houses",1
